timestamp,Conductivity,Dissolved Oxygen,Salinity,Temperature(F),Turbidity,pH
10/22/2025,550.56,22.61,0.34,14.45,51.3,0
10/23/2025,521.34,38.08,0.32,13.92,35.94,0
10/24/2025,530.73,35.71,0.34,13.2,19.95,0
10/25/2025,547.8,37.17,0.35,12.76,2.98,0
10/26/2025,570.82,36.6,0.37,12.84,2.1,0
10/27/2025,537.97,49.52,0.35,11.89,3.36,0
10/28/2025,565.63,36.33,0.38,11.32,14.17,0
10/29/2025,643.45,23.52,0.43,11.64,16.4,0
10/30/2025,572.15,41.71,0.37,12.15,11.16,0
10/31/2025,416.68,55.59,0.27,12.36,3,0
11/1/2025,311.23,49.96,0.2,11.46,4.32,0
11/2/2025,325.9,44.39,0.22,10.81,6.44,0
11/3/2025,371.16,35.34,0.25,10.8,7.31,0
11/4/2025,384.9,33.84,0.26,10.47,2.79,0
11/5/2025,369.94,39.6,0.25,10,2.68,0
11/6/2025,389.16,38.11,0.27,10.06,3.2,0
11/7/2025,172.82,46.23,0.12,4.27,5.16,0
11/8/2025,455.89,40.77,0.31,10.16,4.03,0
11/9/2025,501.77,32.18,0.34,10.95,3.56,0
11/10/2025,488.41,39.09,0.32,11.3,4,0
11/11/2025,409.39,49.23,0.28,9.58,3.97,0
11/12/2025,386.7,48.88,0.28,8.03,4.99,0
11/13/2025,405.38,45.61,0.29,7.89,5.87,0
11/14/2025,339.63,50.05,0.25,6.12,5.72,0
11/15/2025,0,58.98,0,0,2.47,0
11/16/2025,0,61.25,0,0,3.13,0
11/17/2025,0,67.4,0,0,2.53,0
11/18/2025,57.63,71.46,0.04,0.87,1.8,0
11/19/2025,32.81,76.44,0.03,0.47,2.78,0
11/20/2025,54.6,67.87,5.74,0.8,3.71,0.28
11/21/2025,529.92,37.24,0.4,6.69,5.84,6.45
11/22/2025,565.77,27.37,0.42,7.33,29.53,6.45
11/23/2025,535.29,36.32,0.4,6.75,7.69,6.46
11/24/2025,548.18,38.88,0.41,6.72,9.09,6.48
11/25/2025,610.32,30.05,0.46,7.01,8.67,6.43
11/26/2025,467.32,55.09,0.35,7.16,12.77,6.58
11/27/2025,402.96,70.79,0.3,7.4,9.86,6.69
11/28/2025,371.3,84.94,0.28,6.43,7.33,6.8
11/29/2025,385.21,82.64,0.3,5.41,9.4,6.76
11/30/2025,448.71,66.89,0.35,5.49,9.25,6.61
12/1/2025,417.77,63.51,0.33,5.34,7.85,6.6
12/2/2025,457.72,56.22,0.36,5.05,12.14,6.54
12/3/2025,313.7,83.59,0.25,4.43,6.89,6.81
12/4/2025,321.54,80.58,0.26,4.36,10.26,6.71
12/5/2025,319.33,88.39,0.26,4.13,8.23,6.74
12/6/2025,337.29,87.04,0.27,4.7,7.33,6.62
12/7/2025,343.91,81.86,0.27,4.82,6.67,6.56
12/8/2025,342.72,95.38,0.27,4.56,5.66,6.61
12/9/2025,355.78,83.2,0.28,4.76,6.23,6.53
12/10/2025,373.67,92.81,0.3,4.67,7.57,6.43
12/11/2025,469.28,102.8,0.38,4.3,6.23,6.68
12/12/2025,420.68,92.01,0.33,4.79,6.33,6.46
12/13/2025,456.91,67.77,0.36,5.16,7.37,6.31
12/14/2025,517.89,42.95,0.41,5.01,9.52,6.28
12/15/2025,540.68,30.35,0.44,4.51,9.58,6.38
12/16/2025,571.29,32.68,0.46,4.52,7.79,6.41
12/17/2025,622.52,54.36,0.5,4.61,6.52,6.47
12/18/2025,605.26,50.98,0.49,4.58,9.56,6.48
12/19/2025,513.39,92.15,0.41,4.78,9.71,6.74
12/20/2025,408.43,90.67,0.32,4.88,8.18,6.66
12/21/2025,420.61,79.94,0.33,4.89,8.42,6.51
12/22/2025,457.36,59.02,0.37,4.67,7.44,6.41
12/23/2025,532.27,48.71,0.42,4.9,6.91,6.4
12/24/2025,620.29,69.23,0.5,4.69,6.38,6.51
12/25/2025,559.69,53.74,0.45,4.79,5.63,6.49
12/26/2025,568.59,55.68,0.46,4.5,5.6,6.5
12/27/2025,538.01,61.93,0.45,3.33,4.83,6.52
12/28/2025,568.57,66.99,0.48,3.31,4.96,6.53
12/29/2025,611.53,68.19,0.51,3.84,5.75,6.53
12/30/2025,600.38,76.21,0.51,2.73,5.11,6.54
12/31/2025,608.44,68.56,0.52,2.73,5.41,6.52
1/1/2026,548.72,63.95,0.47,2.87,5.76,6.51
1/2/2026,557.81,49.03,0.48,2.68,5.36,6.5
1/3/2026,539.78,56.34,0.46,2.87,5.35,6.49
1/4/2026,544.58,55.77,0.45,3.46,5.35,6.47
1/5/2026,558.42,51.92,0.46,3.74,6.76,6.46
1/6/2026,556.66,31.47,0.45,4.16,6.86,6.38
1/7/2026,606.39,35.81,0.49,4.63,9,6.42
1/8/2026,618.98,63.47,0.51,4.12,6.4,6.48
1/9/2026,589.37,58.96,0.48,4.16,9.6,6.48
1/10/2026,650.02,44.59,0.53,4.36,6.78,6.49
1/11/2026,632.68,36.14,0.51,4.54,10.66,6.42
1/12/2026,603.79,43.43,0.49,4.45,9.31,6.43
1/13/2026,589,21.37,0.47,4.9,7.36,6.4
1/14/2026,594.04,21.95,0.47,5.39,6.62,6.45
1/15/2026,600.56,42.59,0.47,5.68,6.17,6.43
1/16/2026,572.33,84.4,0.45,5.02,6.86,6.47
1/17/2026,574.64,85.39,0.46,4.96,7.36,6.44
1/18/2026,607.12,28.39,0.5,4.25,7.33,6.45
1/19/2026,698.86,37.76,0.57,4.24,9.34,6.42
1/20/2026,784.56,76.18,0.67,3.05,6.03,6.48
1/21/2026,694.28,63.1,0.6,2.84,5.14,6.48
1/22/2026,641.41,56.04,0.54,3.38,5.19,6.49
1/23/2026,588.18,67.22,0.49,3.84,6.29,6.5
1/24/2026,589.46,70.52,0.5,3.18,5.53,6.51
1/25/2026,601.72,29.16,0.5,3.71,6.41,6.46
1/26/2026,800.34,3.56,0.64,5.51,19.95,6.37
1/27/2026,799.03,2.46,0.63,5.63,25.31,6.36
1/28/2026,799.27,2.45,0.63,5.71,24.05,6.37
1/29/2026,816.37,2.44,0.64,5.83,26.05,6.38
1/30/2026,812.37,2.44,0.64,5.76,26.98,6.38
1/31/2026,819.11,2.44,0.65,5.68,24.89,6.41
2/1/2026,826.33,2.43,0.65,5.7,31.04,6.41
